valid report 2040: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
valid report 2050: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
valid report 2060: speed 0.186429, force 9.378916 N, moment 2.298557 Nm, torque -0.048983 Nm, maximum inequality 186.578313, feasible false
valid report 2070: speed 0.186429, force 9.378915 N, moment 2.298564 Nm, torque -0.048983 Nm, maximum inequality 186.578301, feasible false
valid report 2080: speed 0.186333, force 9.374408 N, moment 2.297165 Nm, torque -0.048956 Nm, maximum inequality 186.488155, feasible false
valid report 2090: speed 0.186429, force 9.378911 N, moment 2.298556 Nm, torque -0.048983 Nm, maximum inequality 186.578225, feasible false
valid report 2100: speed 0.185833, force 9.350890 N, moment 2.289937 Nm, torque -0.048811 Nm, maximum inequality 186.017800, feasible false
valid report 2110: speed 0.185833, force 9.350924 N, moment 2.289863 Nm, torque -0.048811 Nm, maximum inequality 186.018474, feasible false
valid report 2120: speed 0.185833, force 9.350914 N, moment 2.289923 Nm, torque -0.048811 Nm, maximum inequality 186.018272, feasible false
valid report 2130: speed 0.185833, force 9.350911 N, moment 2.289940 Nm, torque -0.048811 Nm, maximum inequality 186.018219, feasible false
valid report 2140: speed 0.185833, force 9.350407 N, moment 2.289908 Nm, torque -0.048820 Nm, maximum inequality 186.008133, feasible false
valid report 2150: speed 0.185833, force 9.350914 N, moment 2.289923 Nm, torque -0.048811 Nm, maximum inequality 186.018272, feasible false
