smoothing 0.003 evaluation 5680: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5700: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5720: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5740: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5760: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5780: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5800: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5820: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5840: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5860: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5880: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5900: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5920: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5940: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5960: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 5980: force 0.0316, moment 0.0111, torque Some(1.0816566864629251)
smoothing 0.003 evaluation 6000: force 0.0316, moment 0.0111, torque Some(1.0816529144330245)
